ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
466152,2,1,40,0,2,8,0,1,6,1
463156,1,1,79,0,3,,2,2,6,1
465729,2,1,41,1,5,0,1,4,4,2
462384,1,0,29,1,1,,0,1,7,1
462442,2,0,19,0,1,0,0,4,6,4
464191,1,0,45,1,2,1,0,1,6,1
462078,1,1,61,0,5,1,1,2,2,2
467873,1,1,36,1,5,1,1,2,6,3
461270,2,1,40,1,5,1,0,1,3,1
462960,1,1,57,1,4,0,1,2,6,3
464961,2,1,76,0,9,1,0,1,4,1
462110,2,1,32,1,5,14,1,2,6,2
465769,2,0,25,1,1,9,0,4,6,4
462267,2,0,32,,7,8,0,2,6,4
465269,1,1,45,1,5,1,1,3,3,3
460881,2,1,72,1,3,1,0,,4,4
461891,2,1,48,1,5,0,1,2,6,3
466935,2,1,55,1,5,9,1,2,1,3
464091,2,1,74,1,3,0,2,3,6,4
464535,2,1,56,1,3,1,2,2,6,1
463108,2,1,59,1,3,7,2,2,6,1
461356,2,0,25,1,4,0,0,2,6,1
464570,2,1,31,1,7,0,1,2,6,1
464580,2,0,27,0,5,8,0,4,6,1
465233,2,1,57,1,5,0,1,4,6,2
467208,1,1,39,1,8,,2,2,6,1
459954,2,1,27,1,1,8,0,2,6,4
460219,1,1,51,1,4,8,1,2,6,1
460877,1,1,47,0,5,0,1,5,6,2
460191,1,0,33,0,1,8,0,4,6,4
463742,2,1,56,1,5,0,1,4,6,3
463691,1,0,33,0,8,0,0,3,6,2
463250,1,0,36,1,7,0,0,2,6,4
463952,2,1,51,0,5,4,0,3,4,1
461558,2,1,45,1,2,2,1,2,6,3
466567,1,0,49,1,,1,0,1,6,4
465379,2,0,30,0,1,0,0,4,6,3
463814,1,0,26,0,1,6,0,3,5,4
466938,2,1,63,1,5,8,0,1,6,1
460671,2,1,35,0,4,8,1,4,3,2
462204,1,0,19,0,9,1,0,3,4,1
461671,2,0,32,0,1,7,0,5,6,4
459384,2,1,52,1,5,0,1,3,6,3
459905,1,1,36,1,5,5,0,2,6,3
464734,1,0,42,0,4,7,0,3,4,4
464125,2,1,40,0,7,0,1,2,3,4
467434,2,0,39,1,4,0,0,3,1,2
460956,1,1,47,1,5,1,1,4,3,3
465179,1,1,61,1,5,1,2,2,6,3
463338,2,1,32,0,4,1,0,2,3,4
467066,2,1,55,0,5,0,0,1,6,2
463845,2,1,58,1,5,,1,1,6,4
459976,1,0,38,1,5,0,0,1,6,4
461334,2,1,63,1,5,0,2,2,6,3
465108,2,1,58,1,7,1,1,2,6,3
462600,2,1,30,0,2,3,1,3,4,4
464144,2,1,60,1,5,0,1,4,6,3
466911,2,1,68,0,6,1,2,7,6,2
462806,2,1,52,0,5,0,0,3,4,1
463426,2,1,38,0,6,0,2,5,6,1
464065,1,1,35,1,1,10,0,2,6,2
462979,2,0,18,0,7,1,0,2,6,4
462834,2,1,30,1,8,3,0,2,1,4
460764,2,0,86,0,3,1,0,1,6,4
466466,1,,19,0,1,6,0,5,3,4
460185,2,0,25,0,1,9,0,3,6,4
459749,2,1,59,1,4,,0,4,4,1
464406,1,0,39,1,5,0,0,1,6,1
467758,1,1,50,1,7,1,0,,6,2
462059,2,0,47,1,5,1,0,1,6,3
467905,2,1,43,1,6,0,2,3,6,4
461177,2,1,36,0,6,8,1,4,1,2
460765,2,1,80,0,3,1,0,1,6,4
465386,2,0,36,1,5,0,0,2,2,3
465827,2,0,27,0,,2,0,7,4,4
462332,1,1,37,1,5,1,2,2,7,1
464481,2,1,46,1,6,0,2,3,6,3
461011,2,1,55,0,6,1,2,4,3,2
464749,1,1,47,0,2,9,1,4,4,2
461094,1,0,28,1,1,1,0,3,3,4
462104,2,1,39,0,4,9,0,2,3,4
464524,1,1,27,0,9,1,0,2,6,1
466295,1,1,42,0,2,0,0,,6,1
461787,2,1,72,1,5,0,1,2,6,3
467857,1,1,28,1,2,0,0,2,6,1
460153,2,0,35,1,4,8,0,5,6,3
465215,2,1,39,1,6,9,2,5,2,1
466746,1,1,69,1,3,0,2,2,6,3
464857,2,0,18,0,1,6,0,4,4,4
459478,2,1,46,1,5,,0,1,6,1
460723,1,1,50,1,2,1,2,2,4,2
459853,2,0,30,0,6,5,0,5,6,1
459390,1,0,41,0,5,,0,2,6,2
460410,1,0,39,1,5,3,0,4,6,4
463823,1,0,29,0,9,8,0,4,6,4
462008,1,1,37,1,5,4,0,4,5,2
459750,1,1,39,1,2,0,1,2,6,1
459880,1,1,48,1,5,0,1,5,7,3
459261,1,0,32,1,7,0,0,3,6,3
465656,2,1,78,0,3,1,0,,6,2
465395,1,1,43,0,2,0,1,5,4,2
461631,2,0,29,0,9,8,0,5,6,3
464904,1,1,28,0,2,9,1,2,4,1
461740,2,1,80,1,3,1,0,1,6,2
467092,1,0,28,1,1,7,0,4,6,4
464173,2,1,71,1,5,6,1,3,6,3
464972,2,1,67,0,3,0,2,9,4,1
467959,1,0,26,0,2,0,0,1,2,1
467688,1,1,47,1,2,0,1,2,6,3
460043,1,1,43,1,5,2,1,2,6,2
466590,1,0,27,1,1,0,0,4,6,3
461191,1,1,45,1,9,8,0,4,6,4
465662,2,1,76,0,6,1,0,1,6,3
459231,1,1,43,1,5,3,1,4,6,3
466495,1,1,78,1,3,1,2,2,6,2
459192,2,1,35,1,5,3,1,3,6,3
465710,1,0,49,1,5,1,0,1,6,3
460258,1,0,25,1,1,1,0,5,6,4
462813,2,1,37,0,6,0,1,5,6,1
463595,1,0,32,0,1,1,0,5,,3
467768,2,1,60,1,7,0,1,2,6,3
465291,1,1,45,1,5,5,1,3,6,3
462996,1,1,49,1,8,9,1,3,6,3
463497,2,0,32,1,5,0,0,5,6,4
465301,1,1,40,1,5,0,0,3,3,2
464702,2,1,59,0,5,2,1,2,4,3
459012,2,1,48,1,5,3,0,5,6,2
465053,2,1,82,1,6,0,2,2,6,3
459420,1,1,70,1,3,0,0,2,6,2
464166,2,0,31,1,5,5,0,2,6,2
458987,1,1,72,1,3,0,2,2,6,3
467745,2,1,50,1,5,3,1,4,6,3
464866,1,0,23,0,2,11,0,1,3,4
461081,1,0,20,0,1,2,0,6,6,4
467896,1,0,22,0,1,4,0,3,6,4
463991,1,0,31,1,2,8,0,1,6,1
466620,1,1,36,1,5,7,1,2,6,3
462594,2,1,52,0,4,,1,5,4,2
462206,1,0,29,1,5,,0,1,4,2
460697,2,1,40,1,5,4,1,4,6,3
467934,1,0,40,1,5,1,0,1,6,1
460054,2,1,38,1,5,,0,2,6,3
459576,1,1,85,0,3,,0,,,1
467910,1,0,21,0,7,1,0,3,7,1
467335,1,1,41,0,2,4,1,2,6,4
460263,2,1,40,1,5,0,0,2,6,2
459340,2,1,53,1,5,1,1,3,6,2
465622,1,1,42,1,5,5,0,2,6,3
459395,2,1,42,0,6,8,0,2,6,4
467539,2,1,48,1,5,,1,4,7,3
466574,2,1,59,1,5,7,0,2,6,3
466544,2,1,41,1,6,1,1,3,6,1
463610,1,1,31,1,5,0,1,2,6,1
465539,1,1,49,1,5,1,2,5,6,2
459823,2,1,67,1,6,1,0,2,6,1
467614,2,1,35,0,5,4,1,2,6,2
459073,1,0,26,1,1,0,0,3,6,3
466065,2,,19,0,1,9,0,3,3,4
464863,1,1,25,0,2,6,1,8,4,4
460022,1,1,39,1,1,4,0,2,6,1
459929,2,1,63,1,4,0,0,2,6,1
466613,2,0,23,0,1,8,0,3,6,4
461149,1,0,23,0,1,0,0,3,3,4
466068,1,1,53,1,5,2,0,1,6,3
461513,2,0,33,1,7,0,0,2,6,2
464761,1,1,50,0,2,,1,4,2,2
466236,1,1,69,1,2,0,0,2,4,2
459664,2,0,37,1,5,2,0,1,6,2
461967,1,0,20,0,9,3,0,4,7,3
460516,1,,85,0,3,0,2,1,3,3
461710,1,1,49,1,7,1,1,4,6,3
462742,2,0,18,0,1,0,0,3,3,4
459528,1,1,52,1,7,0,1,2,6,3
462691,2,1,25,0,7,,1,2,4,2
462934,2,1,56,0,6,,2,2,6,1
465837,2,0,62,1,,0,0,1,6,1
464613,1,0,35,,5,0,0,3,6,2
467515,2,1,28,1,2,0,1,2,6,1
463429,1,0,28,1,5,7,0,3,6,1
464024,2,0,20,0,1,0,0,5,7,4
460691,1,0,27,0,8,8,0,1,3,4
461825,1,0,56,0,2,,0,1,6,1
467271,2,1,45,1,5,4,1,4,6,2
465634,2,0,25,1,1,1,0,4,4,2
464801,2,0,40,0,9,1,0,1,4,4
459429,1,1,25,1,1,,0,2,6,4
459888,1,1,74,0,3,,2,2,6,4
463467,1,0,23,0,1,0,0,4,,4
462036,1,1,67,1,3,0,2,2,6,2
461282,2,0,21,0,1,0,0,4,,4
460448,1,0,38,1,5,9,0,1,3,1
464464,2,0,28,0,1,0,0,4,2,3
462410,1,0,32,0,1,1,0,5,7,2
467252,1,0,33,1,,0,0,4,,4
459756,1,1,56,0,3,1,2,4,4,2
463789,1,1,53,1,5,1,0,2,6,3
466947,2,1,57,0,6,1,2,5,6,3
464150,1,1,59,1,5,0,1,3,6,3
465693,1,1,25,1,1,1,2,4,4,1
461670,2,1,59,1,5,0,1,6,6,3
466768,1,1,36,1,5,0,0,4,6,3
461550,2,1,37,1,4,7,0,2,6,1
462438,2,0,22,0,7,1,0,3,2,4
460704,2,1,43,1,5,1,0,2,6,2
464884,2,1,41,1,5,1,0,2,4,1
467050,1,0,21,0,2,0,0,5,2,2
460738,1,0,49,0,2,1,0,,7,1
466176,2,0,38,1,7,8,0,1,2,2
459488,2,1,47,0,5,,1,4,6,1
467773,2,1,70,1,3,1,2,3,6,3
465425,1,0,31,0,2,1,0,4,6,2
462318,1,1,82,0,3,0,1,2,6,1
466078,1,1,51,0,6,,0,1,6,1
460792,1,0,42,0,8,11,0,,6,1
460197,2,0,38,1,5,8,0,3,2,1
459375,2,1,18,0,6,0,2,4,6,1
463862,2,1,50,1,5,6,1,3,6,3
460144,1,0,46,1,7,1,0,,3,1
462721,1,1,72,0,3,1,2,3,6,4
459637,1,0,33,0,2,,0,4,6,3
465809,1,0,25,0,8,1,0,7,4,2
466915,1,1,75,0,4,2,2,2,2,4
467343,2,0,72,1,5,1,0,1,6,2
466268,1,1,72,1,5,0,1,3,4,3
464868,2,1,36,1,4,6,0,6,4,1
464038,2,1,40,1,5,1,0,2,6,1
460176,1,0,28,1,4,0,0,4,6,3
462161,1,0,28,1,7,0,0,3,6,4
464841,2,,19,0,4,0,2,3,4,4
464893,2,1,43,1,5,0,0,2,4,2
464443,1,1,35,1,5,1,1,2,6,2
467619,2,1,65,1,3,1,2,2,6,2
465974,2,1,52,1,6,7,2,4,4,3
462075,1,0,40,1,5,1,0,1,6,2
459494,1,1,69,0,2,9,0,3,6,1
466921,1,0,22,0,1,3,0,3,6,4
463544,2,1,47,1,6,1,1,4,6,3
461167,2,1,29,1,9,1,2,2,3,1
467364,2,1,46,1,5,1,1,3,3,3
462408,2,0,32,1,5,1,0,2,6,1
466224,1,0,38,1,1,0,0,1,2,3
465151,2,1,59,1,5,0,0,1,6,2
467216,1,0,26,1,4,1,0,1,6,4
460586,2,0,26,1,1,1,0,2,3,1
461197,2,0,28,0,9,0,0,1,3,4
462776,1,1,53,1,2,1,1,3,6,3
465058,1,0,43,,4,,0,1,6,2
464088,2,0,27,0,7,1,0,3,6,4
459471,1,0,32,0,5,,0,8,6,3
464695,2,0,26,0,2,0,0,4,4,4
462331,1,0,31,0,4,0,0,2,6,4
466523,2,1,39,1,6,1,2,3,3,2
465337,1,1,43,0,2,1,0,3,7,1
460834,2,1,25,0,7,1,0,2,1,1
466824,2,1,40,1,5,3,2,3,6,1
461607,1,1,40,1,4,7,1,2,3,2
465091,2,1,63,1,4,,1,3,6,3
459532,1,1,27,1,1,,0,2,6,4
466999,2,0,27,1,1,1,0,3,6,4
466597,1,0,19,0,1,1,0,2,6,4
464075,1,1,86,1,3,0,2,2,6,2
463394,2,1,41,1,9,,2,2,6,2
462163,1,1,27,1,5,4,1,2,3,3
463895,1,1,70,0,7,0,1,2,6,2
464767,1,1,53,0,2,8,1,4,4,2
464763,1,1,49,0,2,,1,4,4,2
460718,2,1,55,0,6,3,0,,4,4
461989,1,,57,1,2,0,1,4,2,3
466374,2,1,83,0,3,,0,1,4,2
463738,2,1,43,0,6,0,2,4,6,1
465967,2,1,36,0,7,6,0,3,6,1
462260,2,1,74,1,3,0,0,2,6,3
467234,1,0,30,0,8,0,0,4,6,4
466573,1,0,37,1,5,5,0,2,6,2
463229,1,0,22,0,9,0,0,1,5,2
459768,2,0,19,0,1,0,0,4,6,4
462541,2,1,70,1,2,4,2,2,6,2
467714,2,1,89,1,3,13,0,1,6,1
467730,2,0,18,0,1,,0,4,6,4
459474,2,0,25,1,7,6,0,1,2,4
460093,1,0,45,1,5,4,0,1,3,1
467865,1,0,35,1,5,3,0,1,4,1
465758,1,1,37,0,2,7,0,1,4,4
464184,1,1,39,0,2,4,1,2,6,2
462618,1,0,32,1,1,1,0,5,4,4
464226,1,1,62,1,5,2,1,3,6,3
465432,1,1,58,1,2,0,1,4,4,2
464087,1,0,32,0,2,,0,4,6,3
466627,2,0,25,0,1,0,0,5,6,3
467380,1,1,56,1,5,0,1,4,6,3
465842,1,0,36,1,4,10,0,2,6,1
464622,1,0,30,0,1,8,0,3,6,1
462083,2,0,19,0,1,1,0,5,6,4
460910,2,0,27,1,1,0,0,2,6,1
460255,1,0,38,1,7,14,0,1,6,1
460109,2,1,46,1,5,8,1,2,6,3
464306,2,0,29,1,5,3,0,1,6,2
466835,2,1,51,0,4,1,1,4,7,2
465192,2,1,55,0,5,0,0,1,6,1
463380,1,1,69,1,2,1,0,1,3,1
462391,1,0,26,0,1,1,0,8,7,3
467086,1,1,83,1,3,0,0,3,6,1
460306,1,0,39,1,1,9,0,1,6,4
460752,2,1,35,1,5,9,0,1,6,1
467264,2,1,19,0,9,2,2,5,6,3
461646,1,1,60,1,5,,2,4,6,3
463570,2,1,35,1,5,,1,4,6,3
465277,1,0,53,1,2,,0,1,6,2
467426,1,1,86,0,3,,0,,6,2
466258,1,0,29,0,1,1,0,3,6,2
463719,1,0,26,0,7,0,0,1,6,4
460032,2,0,36,1,2,8,0,1,6,1
465175,1,0,22,0,8,0,0,4,6,4
466610,2,0,19,0,9,0,0,5,6,1
459036,1,1,20,1,3,1,1,3,3,1
464047,2,0,43,1,1,3,0,3,6,4
459496,1,0,42,1,5,,0,3,6,1
459997,2,0,43,1,4,1,0,2,4,1
463382,1,1,50,1,2,4,2,3,6,2
460967,2,0,25,1,4,1,0,2,6,1
465094,2,1,61,0,5,1,2,2,6,2
461229,1,1,28,1,1,0,1,2,6,1
466442,2,0,38,1,5,1,0,1,6,4
464527,2,0,25,0,6,12,0,3,6,1
463560,1,0,18,0,1,9,0,5,4,4
460011,2,1,43,1,4,1,1,5,5,3
467207,1,0,27,1,5,8,0,1,6,2
465177,1,0,60,1,4,1,0,2,6,4
467531,2,1,75,1,3,2,0,1,6,4
465409,1,0,31,0,7,,0,4,6,4
462842,2,0,23,0,7,6,0,4,2,4
462124,2,0,36,1,5,8,0,1,6,1
466265,2,0,30,0,7,1,0,1,3,3
459789,2,1,56,0,5,1,1,2,6,3
464223,1,1,52,1,5,2,0,2,6,3
460280,2,1,39,1,4,0,0,1,6,4
460331,1,0,35,0,5,5,0,1,6,1
461494,2,1,33,0,2,0,1,2,6,2
460035,1,0,25,1,5,0,0,6,6,1
463812,1,1,27,1,5,0,1,2,4,2
465569,2,1,35,1,5,1,2,3,6,1
466333,1,1,41,1,5,1,1,2,6,3
467668,1,1,49,1,5,,1,3,7,3
462723,1,1,46,0,5,8,1,2,6,2
460909,1,0,31,0,1,,0,2,6,4
467777,2,0,49,1,7,,0,1,6,3
462404,1,0,26,1,5,9,0,1,6,1
461799,2,1,43,1,7,13,2,2,6,2
459933,1,1,30,1,5,8,0,4,6,1
463717,1,1,70,1,5,1,1,4,6,3
463652,1,0,28,1,5,,0,1,6,4
462149,1,1,89,0,3,3,2,1,6,4
462769,1,1,42,0,8,6,2,4,6,2
465532,1,1,37,1,4,6,1,3,4,1
462829,2,1,29,0,6,1,1,3,6,4
459210,1,1,68,1,5,1,2,2,6,3
464659,1,0,25,0,2,1,0,1,4,4
461411,2,0,29,0,1,1,0,,6,4
467759,1,1,48,1,7,0,0,2,6,3
461475,1,1,51,1,7,1,1,3,1,3
462714,1,1,40,1,2,1,2,5,2,2
466890,2,1,47,1,5,0,1,6,7,2
462888,2,1,39,1,6,,2,3,6,2
467479,2,1,35,1,6,1,1,4,6,3
466799,1,0,19,0,1,2,0,3,6,4
466557,1,0,21,0,1,7,0,,6,4
460873,2,1,46,1,4,0,1,3,4,2
466776,2,1,86,1,3,0,0,1,6,2
459462,2,1,66,1,5,0,2,2,6,2
465727,2,0,42,0,9,1,0,5,4,4
462348,1,1,73,1,3,1,2,2,6,2
460941,2,1,72,0,2,1,0,1,6,1
461629,2,1,53,1,5,0,0,3,6,2
459907,1,1,39,1,5,8,1,2,6,3
467146,1,0,27,0,8,9,0,1,6,4
460916,2,1,63,0,4,1,1,,6,2
459196,1,0,23,0,1,1,0,3,4,4
465444,1,0,30,1,4,0,0,4,6,2
464186,1,1,39,1,5,5,1,2,6,3
466412,2,1,26,1,5,1,1,3,6,2
459480,1,1,50,1,4,7,0,3,6,1
467880,1,1,45,1,5,1,1,2,6,3
460216,1,0,62,0,4,2,0,1,6,1
467941,1,0,27,1,7,1,0,3,6,1
466090,2,1,57,1,4,1,0,,6,1
462572,1,1,30,0,2,1,1,7,4,1
467443,2,0,32,0,1,7,0,4,3,1
462548,2,0,18,,6,,0,5,4,1
459701,2,0,47,0,5,3,0,3,5,2
461139,1,0,32,1,5,4,0,4,2,1
461115,1,1,32,0,2,5,0,3,1,1
459027,2,1,67,1,7,1,1,4,6,2
467340,1,1,77,1,3,0,2,2,6,3
461410,2,1,79,0,,0,1,2,,3
460857,2,0,31,0,4,1,0,1,4,1
464300,2,1,42,1,5,0,0,3,4,1
460532,1,0,18,0,,0,0,6,6,4
463287,2,1,50,1,5,1,1,4,2,3
461392,2,1,71,1,5,0,1,5,6,3
461546,1,1,72,0,3,1,0,3,6,1
467780,2,1,47,1,5,,0,3,6,1
462130,2,1,45,1,5,9,1,2,6,3
464684,1,0,40,0,2,9,0,5,4,1
462276,1,0,36,1,2,4,0,1,6,1
462142,1,0,42,1,5,,0,1,6,2
462417,2,0,30,0,1,4,0,4,6,4
466463,1,0,29,1,1,2,0,4,4,2
464736,2,0,28,1,2,0,0,5,4,4
467520,2,,22,0,1,,0,2,6,4
459835,2,1,85,0,3,,0,1,6,4
463855,1,1,40,1,5,1,1,2,6,3
460344,1,1,52,1,5,14,1,2,6,3
466211,2,1,47,1,5,0,0,,6,3
460139,2,0,26,0,5,6,0,6,5,4
464126,1,0,55,1,9,3,0,1,6,2
461286,1,0,20,0,7,4,0,4,6,4
461621,1,1,87,1,3,0,2,2,6,3
460163,2,0,28,0,1,0,0,2,4,1
461958,2,0,38,0,5,2,0,2,3,1
464875,2,1,42,0,4,1,0,2,4,2
464791,2,1,42,0,9,0,2,6,4,1
464579,1,0,29,0,2,1,0,4,6,4
463531,2,0,32,1,7,0,0,4,6,1
462651,2,1,38,0,6,,2,5,4,4
465486,1,1,59,0,5,1,2,2,6,3
460882,2,0,22,0,1,0,0,2,3,4
467162,1,0,26,0,8,9,0,,4,4
461298,1,1,78,1,5,1,2,2,6,3
461595,1,0,32,1,1,0,0,3,4,1
459260,2,1,37,1,5,0,1,4,7,3
462772,2,1,37,1,1,1,2,4,6,2
462941,2,0,67,0,3,,0,2,6,4
459143,2,1,47,0,5,0,2,4,6,2
464532,1,1,68,1,3,0,2,2,6,1
460056,2,0,30,1,1,3,0,5,1,3
466761,1,1,48,1,4,2,0,1,1,1
465469,1,0,43,1,5,6,0,1,6,3
461886,2,1,33,1,1,9,0,2,6,4
465680,2,1,31,0,1,0,1,5,4,4
459316,2,1,32,1,1,1,0,2,6,4
465609,1,0,21,0,1,1,0,4,2,4
467009,1,0,29,0,8,2,0,4,3,4
461766,1,1,35,1,5,1,0,2,4,1
464938,2,1,46,0,5,0,0,3,4,1
462034,1,1,38,1,5,9,2,2,2,2
464049,1,0,32,1,1,1,0,3,6,3
467925,1,0,28,1,5,3,0,7,2,1
463711,1,1,68,1,3,3,0,1,6,1
463846,1,1,45,1,5,4,0,1,6,3
462064,2,1,58,1,5,0,1,3,7,3
463249,2,0,28,0,4,1,0,2,7,1
464217,1,0,32,0,1,12,0,3,6,1
463378,2,0,30,1,7,1,0,1,3,2
463035,1,1,42,0,8,3,1,4,6,4
459656,2,0,22,0,,,0,6,1,4
463114,2,0,41,1,5,,0,3,6,3
465309,1,0,18,0,1,6,0,4,7,4
462688,1,1,29,1,1,8,0,3,3,4
459255,1,0,33,1,1,0,0,3,6,1
467385,2,0,47,0,5,1,0,,4,1
467492,1,1,57,1,7,1,0,2,7,1
460789,2,1,36,1,6,1,0,3,6,4
467307,2,1,57,1,6,1,2,3,6,3
464026,2,0,18,0,1,1,0,2,6,4
464645,2,,52,1,5,1,1,5,4,3
462493,2,1,52,1,5,1,1,6,6,3
460685,2,0,51,,5,6,0,4,4,2
460452,1,1,37,1,4,0,1,2,1,2
459322,2,0,36,1,9,0,0,1,6,1
464066,1,0,29,1,1,9,0,3,4,1
461114,2,1,45,1,5,1,1,4,3,3
465165,2,0,61,1,5,0,0,1,6,2
464526,2,1,52,1,4,1,1,4,6,1
460666,1,1,49,1,8,14,0,1,6,1
465417,2,1,40,1,4,,1,2,4,2
464096,1,0,31,0,1,1,0,5,4,3
464891,2,1,42,0,4,1,0,3,4,1
460107,2,1,51,1,2,1,1,5,6,3
467708,1,0,42,1,1,8,0,1,7,4
461873,2,0,29,1,7,1,0,4,6,3
465181,1,0,33,1,1,8,0,1,4,1
467204,2,0,27,1,1,,0,3,6,4
467320,1,0,21,0,1,0,0,4,2,4
459468,2,1,35,0,5,9,1,3,6,2
467316,1,0,42,1,7,0,0,1,6,1
466182,1,0,41,1,5,2,0,1,6,3
463757,2,0,39,1,5,0,0,3,6,2
462314,1,0,28,0,7,14,0,1,6,1
466392,1,1,45,1,2,3,1,,3,2
466652,1,1,61,1,7,1,1,2,6,2
461664,2,1,62,1,5,0,1,4,6,3
464105,2,1,65,1,4,1,1,2,6,3
466790,2,1,45,1,7,1,1,2,3,1
463844,1,1,26,1,2,9,0,2,6,2
462913,1,0,25,1,5,4,0,5,6,3
465541,1,1,45,1,5,1,1,4,7,3
459149,2,1,43,0,6,0,2,4,6,2
464508,2,1,49,1,6,1,2,3,6,3
458999,2,1,55,1,5,1,1,2,6,3
459947,1,0,37,1,5,3,0,1,6,2
465500,2,1,65,1,4,1,2,2,6,3
466009,1,0,32,0,,10,0,5,6,3
466338,1,0,39,0,2,0,0,3,4,1
465122,1,1,40,1,5,2,1,2,6,3
465230,2,1,72,1,4,1,1,3,6,3
466369,1,0,38,0,8,5,0,1,2,2
463939,2,0,26,0,9,0,0,5,6,4
460825,2,0,30,1,7,1,0,3,4,4
461125,2,1,51,1,8,1,0,,4,1
463471,2,0,57,1,9,1,0,4,7,1
467415,1,0,31,1,1,1,0,1,6,4
465879,2,0,39,1,5,0,0,1,6,1
463961,1,0,30,0,2,0,0,4,4,1
462634,1,1,43,0,5,0,1,3,4,1
463622,2,0,27,1,1,8,0,1,3,3
466624,1,1,46,0,5,0,1,4,3,3
467785,2,1,43,0,5,1,0,2,6,2
461928,2,1,69,1,3,,0,1,,1
460578,2,1,28,0,4,8,1,4,7,4
460198,2,0,43,1,4,9,0,1,6,4
467468,1,0,27,0,1,,0,5,7,4
463581,1,0,28,1,1,1,0,3,6,4
463968,2,0,33,0,5,,0,4,6,4
465414,1,0,30,0,2,0,0,1,,2
464574,2,0,58,0,1,4,0,2,6,4
462312,1,0,38,1,2,8,0,4,6,1
467971,1,0,31,1,5,1,0,4,6,4
464746,2,1,32,0,6,4,1,5,4,4
459298,2,1,45,1,5,4,1,4,6,3
466414,2,1,66,1,5,1,0,3,6,1
460773,1,1,51,1,5,1,1,3,6,3
461594,1,1,59,1,5,,1,2,6,3
462713,1,0,40,1,2,,0,1,3,2
465163,2,1,46,1,5,11,1,5,6,3
462222,2,0,20,0,1,1,0,6,4,4
459342,1,1,84,0,3,1,2,2,6,3
463006,1,0,41,1,9,,0,1,6,4
463029,2,1,51,0,5,,1,3,6,3
460767,2,1,57,1,4,8,1,5,2,1
464319,1,0,33,0,7,0,0,1,6,1
462828,2,0,25,0,9,3,0,3,5,4
459873,2,1,55,1,5,,1,3,4,1
461608,1,1,56,1,6,,2,4,1,1
465155,2,1,77,1,3,1,0,1,6,3
461704,2,1,30,1,1,1,0,2,6,1
464826,2,0,23,0,1,6,0,5,4,4
462677,1,0,43,1,5,2,0,4,6,2
465006,2,0,39,1,4,5,0,1,6,1
463483,2,1,29,0,6,1,2,2,6,4
459816,2,1,37,1,7,,0,2,6,4
459002,1,1,45,0,2,2,0,2,6,4
465990,2,1,48,0,6,2,2,2,2,4
466044,2,1,27,0,4,0,1,4,6,1
461163,1,1,60,0,4,9,0,4,3,2
467106,2,1,45,1,4,4,1,3,2,2
467373,2,0,31,1,1,,0,1,6,4
461256,2,0,33,0,7,1,0,4,4,3
466522,2,,18,0,,6,2,4,3,4
459010,1,1,48,1,5,,1,3,6,2
466537,1,1,83,0,3,,0,2,6,1
459046,2,1,57,1,6,,0,4,2,1
459335,2,0,26,1,1,,0,3,1,4
462695,2,1,51,1,5,8,0,5,6,1
466208,2,1,67,0,6,2,2,1,6,3
462128,2,1,38,1,5,9,1,2,6,3
